FileKey,ImageSource,OriginalImagePath,SuperResolutionImagePath,Multiplier,scale-invariant-feature-transform_similarity_interpretation,scale-invariant-feature-transform_num_keypoints1,scale-invariant-feature-transform_num_keypoints2,scale-invariant-feature-transform_num_good_matches,scale-invariant-feature-transform_match_ratio,scale-invariant-feature-transform_avg_distance,multi-scale-structural-similarity-index_ms_ssim,multi-scale-structural-similarity-index_resized_similarity,peak-signal-to-noise-ratio_psnr,peak-signal-to-noise-ratio_nsr,learned-perceptual-image-patch-similarity_lpips,learned-perceptual-image-patch-similarity_resized_similarity
0834,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0834.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0834.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.710, Avg distance: 53.64)",1399,21039,993,0.7097927090779128,53.63515986752774,0.97962886095047,0.0,25.651291871576504,0.03898439131278502,0.10677681118249893,0.0
0835,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0835.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0835.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.723, Avg distance: 57.45)",2843,39970,2055,0.7228279985930355,57.448950336507345,0.9551944136619568,0.0,23.44082111698187,0.04266062161429759,0.2256888598203659,0.0
0836,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0836.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0836.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.708, Avg distance: 52.25)",1561,14087,1105,0.7078795643818065,52.25160117127777,0.9678797721862793,0.5,24.639897042010528,0.040584585166692055,0.09440907835960388,0.5
0837,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0837.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0837.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.739, Avg distance: 56.22)",2754,20997,2036,0.739288307915759,56.22442751256328,0.982257068157196,0.5,25.278144817314594,0.03955986514148922,0.09608765691518784,0.5
0838,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0838.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0838.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.819, Avg distance: 35.27)",370,2084,303,0.8189189189189189,35.27188914837223,0.9948148727416992,0.0,38.36531918816238,0.026065207358122282,0.07923417538404465,0.0
0839,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0839.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0839.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.726, Avg distance: 54.31)",1765,16801,1281,0.7257790368271955,54.30642290379645,0.9893998503684998,0.0,29.549643253619344,0.0338413561008902,0.05241096019744873,0.0
0840,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0840.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0840.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.744, Avg distance: 56.58)",2988,23830,2224,0.7443105756358769,56.576135082424976,0.9890727996826172,0.5,28.448043254717877,0.035151802570257906,0.09183421730995178,0.5
0841,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0841.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0841.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.724, Avg distance: 57.46)",1532,15398,1109,0.7238903394255874,57.46461295759065,0.983285665512085,0.5,27.686855919419642,0.03611822169011965,0.0923875942826271,0.5
0842,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0842.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0842.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.744, Avg distance: 51.57)",1248,15461,929,0.7443910256410257,51.569736903655645,0.988853394985199,0.25,29.81844467394621,0.03353628973390914,0.06828682124614716,0.25
0843,Control,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_LR_bicubic_X4/X4/0843.png,/Users/t834527/Repos/visionary-validation/data/DIV2K_valid_HR/0843.png,4x,"Very similar or identical (possibly the same image with different resolution) - High-quality matches (Match ratio: 0.837, Avg distance: 40.57)",196,404,164,0.8367346938775511,40.56510013632658,0.9991722106933594,1.5,38.68818208116114,0.025847686456349186,0.020907435566186905,1.5
